"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-06-30,72912,"33919","FL","Fort Myers","Lee","Fort Myers",1008,178600,-0.00167691447736165,-0.0154355016538037,0.0323699421965318,0.0858737685029807,-0.0153126153198363,"2006-06","2006-Q2",256400,-0.303432137285491,"2005-02"
2017-06-30,98317,"95621","CA","Sacramento","Sacramento","Citrus Heights",1009,284400,0.0124599501601994,0.037956204379562,0.121009065825778,0.130676053675896,-0.00146492079554394,"2005-12","2005-Q4",343600,-0.172293364377183,"2004-10"
2017-06-30,58863,"02703","MA","Providence","Bristol","Attleboro",1010,289500,0.00242382271468144,0.0150771388499299,0.0718252499074417,0.0528286561722118,0.0000691108911436977,"2005-10","2005-Q4",318200,-0.0901948460087995,"2004-06"
2017-06-30,79741,"49424","MI","Grand Rapids","Ottawa","Holland",1011,184700,0.00271444082519001,0.0120547945205479,0.0694846554719166,0.0661237630040001,0.0123285481284201,"2002-12","2002-Q4",185700,-0.0053850296176629,"2002-12"
2017-06-30,79740,"49423","MI","Grand Rapids","Ottawa","Holland",1012,159800,0.00313873195229127,0.0184831102613129,0.115143056524773,0.0763768027300702,0.0174609513273254,"2017-06","2017-Q2",159800,0,"2017-06"
2017-06-30,96656,"92114","CA","San Diego","San Diego","San Diego",1013,424200,0.00592838510789661,0.0209386281588448,0.0647590361445783,0.10447663256509,,"2017-06","2017-Q2",424200,0,"2017-06"
2017-06-30,98369,"95678","CA","Sacramento","Placer","Roseville",1014,360500,0.00417827298050139,0.0123560797528784,0.0884661835748792,0.124048541560618,0.00408474051215979,"2006-01","2006-Q1",387800,-0.0703971119133574,"2005-03"
2017-06-30,74317,"37343","TN","Chattanooga","Hamilton","Chattanooga",1015,170500,0.00887573964497041,0.0333333333333333,0.0563816604708798,0.0301047972707789,0.0147338864952478,"2017-06","2017-Q2",170500,0,"2017-06"
2017-06-30,60971,"08081","NJ","Philadelphia","Camden","Gloucester",1016,181200,-0.00494233937397035,0.000552181115405853,0.0214205186020293,0.0235398718089894,-0.0255388923864659,"2007-01","2007-Q1",237000,-0.235443037974684,"2004-09"
2017-06-30,99775,"98391","WA","Seattle","Pierce","Bonney Lake",1017,358600,0.0101408450704225,0.0286861732644865,0.0963008254356466,0.0852597734282758,0.00492737486209172,"2017-06","2017-Q2",358600,0,"2017-06"
2017-06-30,99639,"98226","WA","Bellingham","Whatcom","Bellingham",1018,356900,0.00648618161308517,0.0116213151927438,0.0848024316109423,0.066555858229657,0.0147458931359887,"2017-06","2017-Q2",356900,0,"2017-06"
2017-06-30,90629,"75024","TX","Dallas-Fort Worth","Collin","Plano",1019,424600,0.0025974025974026,0.0150609610327516,0.0617654413603401,0.0854449444288494,0.0418838694318613,"2017-06","2017-Q2",424600,0,"2017-06"
2017-06-30,75282,"39402","MS","Hattiesburg","Forrest","Hattiesburg",1020,166000,-0.000602046959662854,-0.00658288450029922,0.0265924551638837,-0.000240789818438114,-0.00377581061982812,"2009-08","2009-Q3",184500,-0.100271002710027,"2007-02"
2017-06-30,72429,"33126","FL","Miami-Fort Lauderdale","Miami-Dade","Miami",1021,170000,0.00413467217956291,0.000588581518540318,0.0346926354230067,0.129191465180053,-0.0327210499682934,"2007-07","2007-Q3",238100,-0.286014279714406,"2005-04"
2017-06-30,77020,"44120","OH","Cleveland","Cuyahoga","Cleveland",1022,80900,0.0074719800747198,0.02275600505689,0.129888268156425,0.0338358548521118,-0.017376494460441,"2005-11","2005-Q4",105000,-0.22952380952381,"1999-09"
2017-06-30,72259,"32835","FL","Orlando","Orange","Orlando",1023,180200,0.0112233445566779,0.0244457077885162,0.097442143727162,0.107607323244082,-0.0328264412265163,"2006-11","2006-Q4",266300,-0.323319564401051,"2005-04"
2017-06-30,74653,"38115","TN","Memphis","Shelby","Memphis",1024,92500,0.00325379609544469,0.0131434830230011,0.0985748218527316,0.0508020394941007,-0.0151903462377289,"2007-05","2007-Q2",107900,-0.142724745134384,"2002-02"
2017-06-30,77522,"45231","OH","Cincinnati","Hamilton","Finneytown",1025,102300,0.00688976377952756,0.0250501002004008,0.107142857142857,0.0467675374725121,-0.0105097552744625,"2006-05","2006-Q2",117400,-0.128620102214651,"2002-04"
2017-06-30,84542,"60506","IL","Chicago","Kane","Aurora",1026,170000,0.00770598695909899,0.0296789824348879,0.0996119016817594,0.06913283724157,-0.0120959422576606,"2006-10","2006-Q4",192800,-0.118257261410788,"2004-10"
2017-06-30,94732,"85016","AZ","Phoenix","Maricopa","Phoenix",1027,278600,0.00942028985507246,0.0257731958762887,0.0773395204949729,0.130318492641,0.000865556414990643,"2006-06","2006-Q2",284700,-0.0214260625219529,"2006-02"
2017-06-30,76282,"42240","KY","Clarksville","Christian","Hopkinsville",1028,116600,0.000858369098712446,-0.00511945392491468,0.031858407079646,0.0295503810198532,0.0171156699054651,"2017-03","2017-Q1",117200,-0.00511945392491468,"2017-03"
2017-06-30,67921,"24018","VA","Roanoke","Roanoke City","Roanoke",1029,212500,0.000470809792843691,0.010941960038059,0.0710685483870968,0.0284386930666962,0.00542925082482992,"2017-06","2017-Q2",212500,0,"2017-06"
2017-06-30,79326,"48706","MI","Bay City","Bay","Bangor Township",1030,98300,0.00924024640657084,0.0260960334029228,0.0802197802197802,0.0415397035045948,-0.00191258482399337,"2004-04","2004-Q2",109900,-0.105550500454959,"2002-05"
2017-06-30,99578,"98118","WA","Seattle","King","Seattle",1031,519900,0.0212139068945197,0.0746176105828855,0.1813224267212,0.146720102687109,0.0317073288974326,"2017-06","2017-Q2",519900,0,"2017-06"
2017-06-30,77018,"44118","OH","Cleveland","Cuyahoga","Cleveland Heights",1032,137000,0.00661278471711977,0.0148148148148148,0.0482019892884468,0.0189921133657278,-0.0109202550515798,"2006-02","2006-Q1",155700,-0.120102761721259,"2003-05"
2017-06-30,63531,"14450","NY","Rochester","Monroe","Perinton",1033,196400,-0.014550928248871,0,0.0364116094986807,0.0240449036628156,0.0124747482153682,"2017-04","2017-Q2",199600,-0.0160320641282565,"2017-03"
2017-06-30,96595,"92026","CA","San Diego","San Diego","Escondido",1034,488200,0.00514721021206506,0.0256302521008403,0.0689730676592949,0.0931158867278965,0.00438495673571571,"2006-01","2006-Q1",509700,-0.0421816754953894,"2005-04"
2017-06-30,96670,"92129","CA","San Diego","San Diego","San Diego",1035,738000,0.00943783340172343,0.0343377715487036,0.0720511330621732,0.0736086143158419,0.0207471804769939,"2017-06","2017-Q2",738000,0,"2017-06"
2017-06-30,96446,"91601","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",1036,585900,0.0110440034512511,0.0244798041615667,0.0326048642932675,0.0997569401094773,0.00104713887380048,"2006-06","2006-Q2",597600,-0.019578313253012,"2006-01"
2017-06-30,60324,"06460","CT","New Haven","New Haven","Milford",1037,276000,-0.00325027085590466,0.00290697674418605,0.0344827586206897,0.0202300424549537,-0.015602151192513,"2006-04","2006-Q2",334700,-0.17538093815357,"2004-07"
